epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,36.1391,1.07206,1.18891,1.03823,0.78789,0.5,0.415,0.25263,1.74819,3.08947,2.37443,0.000771459,0.000771459,0.000771459
59,36.7209,0.72657,1.01876,0.97227,0.78789,0.5,0.415,0.25263,1.74819,3.08947,2.37443,0.000781803,0.000781803,0.000781803
60,37.3172,1.26169,1.36911,1.27419,0.60056,0.16667,0.22554,0.11596,1.84455,3.2488,2.48229,0.000792037,0.000792037,0.000792037
61,38.0159,1.40303,1.38763,1.89031,0.60056,0.16667,0.22554,0.11596,1.84455,3.2488,2.48229,0.00080216,0.00080216,0.00080216
62,38.5886,0.83543,1.23307,1.20424,0.60056,0.16667,0.22554,0.11596,1.84455,3.2488,2.48229,0.000812174,0.000812174,0.000812174
63,39.2072,0.63796,1.88634,1.07238,0.6408,0.5,0.15483,0.06383,2.07644,3.18001,2.88512,0.000822078,0.000822078,0.000822078
64,39.8432,0.95017,1.64287,1.66273,0.6408,0.5,0.15483,0.06383,2.07644,3.18001,2.88512,0.000831871,0.000831871,0.000831871
65,40.4271,0.69962,1.16975,1.11638,0.6408,0.5,0.15483,0.06383,2.07644,3.18001,2.88512,0.000841555,0.000841555,0.000841555
66,41.0627,0.72567,1.32538,1.1649,0.80497,0.16667,0.272,0.15428,1.90612,3.19977,2.22831,0.000851129,0.000851129,0.000851129
67,41.5986,0.6684,1.18206,0.98755,0.80497,0.16667,0.272,0.15428,1.90612,3.19977,2.22831,0.000860592,0.000860592,0.000860592
68,42.1682,0.89121,1.09452,1.42171,0.80497,0.16667,0.272,0.15428,1.90612,3.19977,2.22831,0.000869946,0.000869946,0.000869946
69,42.7535,0.49011,1.22505,1.01292,0.95132,0.16667,0.25786,0.15938,2.14111,3.98272,2.31919,0.000879189,0.000879189,0.000879189
70,43.3463,1.10182,1.69653,1.61583,0.95132,0.16667,0.25786,0.15938,2.14111,3.98272,2.31919,0.000888323,0.000888323,0.000888323
71,43.9539,0.70983,1.24966,0.95425,0.95132,0.16667,0.25786,0.15938,2.14111,3.98272,2.31919,0.000897346,0.000897346,0.000897346
72,44.6033,0.53102,1.49237,1.27697,0.95713,0.16667,0.23328,0.18663,2.0042,3.50441,2.14903,0.00090626,0.00090626,0.00090626
73,45.1376,0.87404,1.09702,1.05081,0.95713,0.16667,0.23328,0.18663,2.0042,3.50441,2.14903,0.000915063,0.000915063,0.000915063
74,45.6922,0.79593,1.37301,1.26893,0.95713,0.16667,0.23328,0.18663,2.0042,3.50441,2.14903,0.000923756,0.000923756,0.000923756
75,46.2871,1.08474,1.2371,1.28461,0.9584,0.16667,0.22967,0.19101,1.96962,3.3206,2.15983,0.00093234,0.00093234,0.00093234
76,46.8468,0.91731,1.24531,1.20281,0.9584,0.16667,0.22967,0.19101,1.96962,3.3206,2.15983,0.000940813,0.000940813,0.000940813
77,47.3973,0.78032,1.47042,1.40596,0.9584,0.16667,0.22967,0.19101,1.96962,3.3206,2.15983,0.000949176,0.000949176,0.000949176
78,48.0891,0.43196,0.92027,0.87529,0.91444,0.16667,0.30893,0.19549,2.00503,2.87923,2.14514,0.00095743,0.00095743,0.00095743
79,48.6645,0.83471,1.1348,0.98777,0.91444,0.16667,0.30893,0.19549,2.00503,2.87923,2.14514,0.000965573,0.000965573,0.000965573
80,49.3022,0.73057,1.06664,1.02644,0.91444,0.16667,0.30893,0.19549,2.00503,2.87923,2.14514,0.000973606,0.000973606,0.000973606
81,49.8994,0.45973,0.92713,0.9257,0.71622,0.33333,0.36,0.2268,2.28351,3.02242,2.45252,0.00098153,0.00098153,0.00098153
82,50.4796,0.67393,1.06736,1.12826,0.71622,0.33333,0.36,0.2268,2.28351,3.02242,2.45252,0.000989343,0.000989343,0.000989343
83,51.1204,0.80385,1.4783,1.26043,0.71622,0.33333,0.36,0.2268,2.28351,3.02242,2.45252,0.000997046,0.000997046,0.000997046
84,51.7488,0.77032,0.85928,0.9931,0.62666,0.33997,0.19413,0.09087,1.93948,3.08089,2.12766,0.00100464,0.00100464,0.00100464
85,52.3417,0.66897,1.09033,1.0786,0.62666,0.33997,0.19413,0.09087,1.93948,3.08089,2.12766,0.00101212,0.00101212,0.00101212
86,52.9301,0.86336,1.17972,1.09023,0.62666,0.33997,0.19413,0.09087,1.93948,3.08089,2.12766,0.0010195,0.0010195,0.0010195
87,53.4799,0.65387,1.11712,0.94864,0.62666,0.33997,0.19413,0.09087,1.93948,3.08089,2.12766,0.00102676,0.00102676,0.00102676
88,54.0948,0.69506,1.24656,1.11007,0.00199,0.6,0.1869,0.09294,2.04824,3.17169,2.14487,0.00103391,0.00103391,0.00103391
89,54.676,0.94893,1.34312,1.14609,0.00199,0.6,0.1869,0.09294,2.04824,3.17169,2.14487,0.00104095,0.00104095,0.00104095
90,55.2399,0.56127,1.06054,0.95082,0.00199,0.6,0.1869,0.09294,2.04824,3.17169,2.14487,0.00104789,0.00104789,0.00104789
91,55.8639,0.79665,0.99707,1.03915,0.00199,0.6,0.1869,0.09294,2.04824,3.17169,2.14487,0.00105471,0.00105471,0.00105471
92,56.6113,0.76443,1.32078,1.18344,0.74058,0.33333,0.3325,0.1816,2.16095,3.25369,2.30237,0.00106142,0.00106142,0.00106142
93,57.2002,0.59487,0.95214,0.98848,0.74058,0.33333,0.3325,0.1816,2.16095,3.25369,2.30237,0.00106803,0.00106803,0.00106803
94,57.7954,0.62128,1.26869,1.09738,0.74058,0.33333,0.3325,0.1816,2.16095,3.25369,2.30237,0.00107452,0.00107452,0.00107452
95,58.3696,0.82707,1.17273,1.2831,0.74058,0.33333,0.3325,0.1816,2.16095,3.25369,2.30237,0.0010809,0.0010809,0.0010809
96,58.9973,0.74607,2.22798,1.322,0.87054,0.5,0.415,0.11348,2.42683,3.20015,2.65279,0.00108718,0.00108718,0.00108718
