epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,49.6762,1.2453,1.82048,1.49837,0.88888,0.25,0.39945,0.28363,1.77719,2.75619,1.97751,0.000739768,0.000739768,0.000739768
56,50.5617,2.04323,4.4515,2.47693,0.88888,0.25,0.39945,0.28363,1.77719,2.75619,1.97751,0.000750442,0.000750442,0.000750442
57,51.488,1.37445,2.0752,1.47597,0.8982,0.25,0.32316,0.22985,1.8175,2.80618,2.07692,0.000761006,0.000761006,0.000761006
58,52.2906,1.03316,1.22362,1.14031,0.8982,0.25,0.32316,0.22985,1.8175,2.80618,2.07692,0.000771459,0.000771459,0.000771459
59,53.0369,0.87134,1.2411,1.01822,0.8982,0.25,0.32316,0.22985,1.8175,2.80618,2.07692,0.000781803,0.000781803,0.000781803
60,54.0357,1.62075,1.68333,1.75833,0.68141,0.25,0.29319,0.21264,1.57811,2.67256,1.78379,0.000792037,0.000792037,0.000792037
61,54.884,0.69977,1.57917,1.12347,0.68141,0.25,0.29319,0.21264,1.57811,2.67256,1.78379,0.00080216,0.00080216,0.00080216
62,55.6547,1.0212,1.95913,1.4028,0.68141,0.25,0.29319,0.21264,1.57811,2.67256,1.78379,0.000812174,0.000812174,0.000812174
63,56.5951,1.09269,2.3529,1.65243,0.76549,0.5,0.30445,0.16336,1.73792,2.65716,1.85427,0.000822078,0.000822078,0.000822078
64,57.4456,0.65142,2.54308,1.17276,0.76549,0.5,0.30445,0.16336,1.73792,2.65716,1.85427,0.000831871,0.000831871,0.000831871
65,58.2851,1.20119,1.57177,1.38361,0.76549,0.5,0.30445,0.16336,1.73792,2.65716,1.85427,0.000841555,0.000841555,0.000841555
66,59.1658,0.84712,1.65049,1.30862,1,0.32466,0.48158,0.3356,2.0234,2.67888,2.34894,0.000851129,0.000851129,0.000851129
67,59.946,0.98586,1.52841,1.16326,1,0.32466,0.48158,0.3356,2.0234,2.67888,2.34894,0.000860592,0.000860592,0.000860592
68,60.8221,0.82817,1.73204,1.34799,1,0.32466,0.48158,0.3356,2.0234,2.67888,2.34894,0.000869946,0.000869946,0.000869946
69,61.7836,0.75926,1.43974,1.17352,1,0.461,0.5011,0.34845,1.85991,2.4109,2.23432,0.000879189,0.000879189,0.000879189
70,62.7459,0.97503,1.97585,1.47023,1,0.461,0.5011,0.34845,1.85991,2.4109,2.23432,0.000888323,0.000888323,0.000888323
71,63.5614,1.00042,1.29231,1.08537,1,0.461,0.5011,0.34845,1.85991,2.4109,2.23432,0.000897346,0.000897346,0.000897346
72,64.3321,0.42115,3.08504,1.21582,1,0.45048,0.54867,0.41796,1.66343,2.46457,2.08925,0.00090626,0.00090626,0.00090626
73,65.1234,1.01348,1.47677,1.07142,1,0.45048,0.54867,0.41796,1.66343,2.46457,2.08925,0.000915063,0.000915063,0.000915063
74,65.9365,0.7789,1.43279,1.05692,1,0.45048,0.54867,0.41796,1.66343,2.46457,2.08925,0.000923756,0.000923756,0.000923756
75,66.8418,0.85394,1.10876,1.0355,1,0.46398,0.58935,0.44258,1.81734,2.44759,2.26252,0.00093234,0.00093234,0.00093234
76,67.6451,1.11303,1.29234,1.15723,1,0.46398,0.58935,0.44258,1.81734,2.44759,2.26252,0.000940813,0.000940813,0.000940813
77,68.4188,1.19074,2.62365,1.3617,1,0.46398,0.58935,0.44258,1.81734,2.44759,2.26252,0.000949176,0.000949176,0.000949176
78,69.481,0.69496,0.92907,1.01029,0.84527,0.41882,0.51333,0.38884,1.78873,2.35728,2.29839,0.00095743,0.00095743,0.00095743
79,70.3109,0.79647,1.21702,1.08573,0.84527,0.41882,0.51333,0.38884,1.78873,2.35728,2.29839,0.000965573,0.000965573,0.000965573
80,71.1307,1.04363,1.8229,1.30199,0.84527,0.41882,0.51333,0.38884,1.78873,2.35728,2.29839,0.000973606,0.000973606,0.000973606
81,72.0295,0.68008,1.24233,0.87775,0.55587,0.45833,0.51253,0.36637,1.94182,2.35877,2.40804,0.00098153,0.00098153,0.00098153
82,72.8363,0.89274,1.58394,1.13166,0.55587,0.45833,0.51253,0.36637,1.94182,2.35877,2.40804,0.000989343,0.000989343,0.000989343
83,73.6815,0.85455,2.4498,1.06686,0.55587,0.45833,0.51253,0.36637,1.94182,2.35877,2.40804,0.000997046,0.000997046,0.000997046
84,74.5463,0.69709,1.11505,0.87805,0.98385,0.375,0.455,0.3721,1.84842,2.28174,2.25084,0.00100464,0.00100464,0.00100464
85,75.4216,0.5338,1.39185,1.02203,0.98385,0.375,0.455,0.3721,1.84842,2.28174,2.25084,0.00101212,0.00101212,0.00101212
86,76.3617,0.755,1.40505,0.84119,0.98385,0.375,0.455,0.3721,1.84842,2.28174,2.25084,0.0010195,0.0010195,0.0010195
87,77.1917,1.0221,1.76602,1.33423,0.98385,0.375,0.455,0.3721,1.84842,2.28174,2.25084,0.00102676,0.00102676,0.00102676
88,78.0299,0.87315,1.82241,1.41264,0.98847,0.375,0.47817,0.34256,1.79541,2.15222,2.2194,0.00103391,0.00103391,0.00103391
89,78.8199,1.28549,1.61913,1.12121,0.98847,0.375,0.47817,0.34256,1.79541,2.15222,2.2194,0.00104095,0.00104095,0.00104095
90,79.6338,0.96351,1.41552,1.37137,0.98847,0.375,0.47817,0.34256,1.79541,2.15222,2.2194,0.00104789,0.00104789,0.00104789
91,80.4479,0.84279,1.40922,1.25982,0.98847,0.375,0.47817,0.34256,1.79541,2.15222,2.2194,0.00105471,0.00105471,0.00105471
92,81.2917,1.07995,1.9365,1.38384,0.99067,0.375,0.57844,0.34965,1.73761,2.06526,2.1835,0.00106142,0.00106142,0.00106142
93,82.1038,1.44604,1.41096,1.32612,0.99067,0.375,0.57844,0.34965,1.73761,2.06526,2.1835,0.00106803,0.00106803,0.00106803
94,83.1062,1.05288,1.85432,1.16939,0.99067,0.375,0.57844,0.34965,1.73761,2.06526,2.1835,0.00107452,0.00107452,0.00107452
95,84.0532,0.79532,1.38202,1.15239,0.99067,0.375,0.57844,0.34965,1.73761,2.06526,2.1835,0.0010809,0.0010809,0.0010809
96,84.9002,0.77862,1.80513,1.11427,0.99047,0.375,0.50132,0.37845,1.86906,2.25713,2.4481,0.00108718,0.00108718,0.00108718
97,85.688,1.33416,2.25542,1.41651,0.99047,0.375,0.50132,0.37845,1.86906,2.25713,2.4481,0.00109334,0.00109334,0.00109334
98,86.4657,1.43627,1.57653,1.47811,0.99047,0.375,0.50132,0.37845,1.86906,2.25713,2.4481,0.00109939,0.00109939,0.00109939
99,87.2777,0.97533,2.1033,1.24716,0.99047,0.375,0.50132,0.37845,1.86906,2.25713,2.4481,0.00110533,0.00110533,0.00110533
100,88.1826,0.78739,1.20865,1.14678,0.33688,0.58333,0.45225,0.29696,2.02261,2.59174,2.71862,0.00111117,0.00111117,0.00111117
101,89.1017,0.78644,1.48798,1.16946,0.33688,0.58333,0.45225,0.29696,2.02261,2.59174,2.71862,0.00111689,0.00111689,0.00111689
102,89.8994,1.06345,2.22917,1.28454,0.33688,0.58333,0.45225,0.29696,2.02261,2.59174,2.71862,0.00111139,0.00111139,0.00111139
103,90.7393,0.93741,1.68001,1.31271,0.33688,0.58333,0.45225,0.29696,2.02261,2.59174,2.71862,0.00110589,0.00110589,0.00110589
104,91.5838,0.76917,1.26893,1.02047,0.80236,0.38386,0.48278,0.27191,2.01405,3.30155,2.78419,0.00110039,0.00110039,0.00110039
105,92.3784,0.79049,1.62688,1.29168,0.80236,0.38386,0.48278,0.27191,2.01405,3.30155,2.78419,0.00109489,0.00109489,0.00109489
106,93.1427,1.00181,1.80381,1.27182,0.80236,0.38386,0.48278,0.27191,2.01405,3.30155,2.78419,0.00108938,0.00108938,0.00108938
107,93.8666,0.97548,2.26296,1.04257,0.80236,0.38386,0.48278,0.27191,2.01405,3.30155,2.78419,0.00108388,0.00108388,0.00108388
108,94.6738,1.38762,2.19875,1.67868,0.76905,0.44168,0.54882,0.28128,1.75773,3.28416,2.17686,0.00107838,0.00107838,0.00107838
109,95.5613,0.78562,1.4101,1.00452,0.76905,0.44168,0.54882,0.28128,1.75773,3.28416,2.17686,0.00107288,0.00107288,0.00107288
110,96.4443,1.0489,1.99658,1.21958,0.76905,0.44168,0.54882,0.28128,1.75773,3.28416,2.17686,0.00106738,0.00106738,0.00106738
111,97.2734,0.65811,1.14388,0.96737,0.76905,0.44168,0.54882,0.28128,1.75773,3.28416,2.17686,0.00106188,0.00106188,0.00106188
112,98.257,1.12233,1.64672,1.48251,0.93357,0.5,0.65314,0.30368,1.99301,2.99409,2.31735,0.00105638,0.00105638,0.00105638
113,99.1217,1.01603,1.52687,1.27801,0.93357,0.5,0.65314,0.30368,1.99301,2.99409,2.31735,0.00105088,0.00105088,0.00105088
114,99.9608,0.96154,1.65354,1.04009,0.93357,0.5,0.65314,0.30368,1.99301,2.99409,2.31735,0.00104538,0.00104538,0.00104538
115,100.921,0.83004,1.33061,1.02335,0.93357,0.5,0.65314,0.30368,1.99301,2.99409,2.31735,0.00103987,0.00103987,0.00103987
116,101.831,0.8188,2.08097,1.14984,0.6938,0.55984,0.66637,0.31978,2.06535,2.4943,2.51006,0.00103437,0.00103437,0.00103437
117,102.572,0.69261,1.30945,0.95457,0.6938,0.55984,0.66637,0.31978,2.06535,2.4943,2.51006,0.00102887,0.00102887,0.00102887
